timestamp_utc,border_id,metric,mw,pseudo_capacity_mw,congestion_util,congestion_flag
2025-11-04 12:00:00+00:00,BE_NL,physical_flow,47.69,,,False
2025-11-04 13:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-04 14:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-04 15:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-04 16:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-04 17:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-04 18:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-04 19:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-04 20:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-04 21:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-04 22:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-04 23:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-05 00:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-05 01:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-05 02:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-05 03:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-05 04:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-05 05:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-05 06:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-05 07:00:00+00:00,BE_NL,physical_flow,23.055,,,False
2025-11-05 08:00:00+00:00,BE_NL,physical_flow,251.2825,,,False
2025-11-05 09:00:00+00:00,BE_NL,physical_flow,846.67,,,False
2025-11-05 10:00:00+00:00,BE_NL,physical_flow,702.87,,,False
2025-11-05 11:00:00+00:00,BE_NL,physical_flow,316.145,,,False
2025-11-05 12:00:00+00:00,BE_NL,physical_flow,136.665,,,False
2025-11-05 13:00:00+00:00,BE_NL,physical_flow,14.125,,,False
2025-11-05 14:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-05 15:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-05 16:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-05 17:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-05 18:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-05 19:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-05 20:00:00+00:00,BE_NL,physical_flow,0.0,,,False
2025-11-05 21:00:00+00:00,BE_NL,physical_flow,0.0,,,False
